Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-19 00:00:00-04:00,3035.199951171875,3050.89990234375,3030.89990234375,3035.89990234375,175,0.0,0.0
2025-03-20 00:00:00-04:00,3047.300048828125,3047.300048828125,3034.39990234375,3040.0,185,0.0,0.0
2025-03-21 00:00:00-04:00,3034.5,3037.5,3000.89990234375,3018.199951171875,151,0.0,0.0
2025-03-24 00:00:00-04:00,3024.300048828125,3024.300048828125,3006.0,3013.10009765625,137,0.0,0.0
2025-03-25 00:00:00-04:00,3026.39990234375,3028.800048828125,3023.699951171875,3023.699951171875,74,0.0,0.0
2025-03-26 00:00:00-04:00,3033.199951171875,3033.199951171875,3019.5,3020.89990234375,83,0.0,0.0
2025-03-27 00:00:00-04:00,3025.5,3065.0,3025.5,3060.199951171875,124359,0.0,0.0
2025-03-28 00:00:00-04:00,3069.699951171875,3094.89990234375,3066.800048828125,3086.5,31206,0.0,0.0
2025-03-31 00:00:00-04:00,3091.0,3132.5,3086.0,3122.800048828125,3438,0.0,0.0
2025-04-01 00:00:00-04:00,3129.699951171875,3149.5,3104.0,3118.89990234375,1721,0.0,0.0
2025-04-02 00:00:00-04:00,3120.699951171875,3168.60009765625,3117.39990234375,3139.89990234375,5946,0.0,0.0
2025-04-03 00:00:00-04:00,3150.0,3166.89990234375,3052.0,3097.0,5516,0.0,0.0
2025-04-04 00:00:00-04:00,3110.5,3127.699951171875,3011.0,3012.0,3247,0.0,0.0
2025-04-07 00:00:00-04:00,3016.39990234375,3050.800048828125,2949.699951171875,2951.300048828125,4424,0.0,0.0
2025-04-08 00:00:00-04:00,2994.0,3014.5,2968.39990234375,2968.39990234375,3213,0.0,0.0
2025-04-09 00:00:00-04:00,2965.800048828125,3090.39990234375,2965.800048828125,3056.5,2175,0.0,0.0
2025-04-10 00:00:00-04:00,3073.89990234375,3167.0,3072.10009765625,3155.199951171875,3456,0.0,0.0
2025-04-11 00:00:00-04:00,3182.10009765625,3235.0,3182.10009765625,3222.199951171875,862,0.0,0.0
2025-04-14 00:00:00-04:00,3215.5,3228.800048828125,3194.5,3204.800048828125,263,0.0,0.0
2025-04-15 00:00:00-04:00,3216.0,3218.699951171875,3214.0,3218.699951171875,390,0.0,0.0
2025-04-16 00:00:00-04:00,3238.300048828125,3334.89990234375,3238.300048828125,3326.60009765625,1874,0.0,0.0
2025-04-17 00:00:00-04:00,3345.0,3345.0,3287.800048828125,3308.699951171875,824,0.0,0.0
2025-04-21 00:00:00-04:00,3342.199951171875,3418.5,3342.199951171875,3406.199951171875,78,0.0,0.0
2025-04-22 00:00:00-04:00,3422.199951171875,3485.60009765625,3361.699951171875,3400.800048828125,785,0.0,0.0
2025-04-23 00:00:00-04:00,3321.199951171875,3370.300048828125,3256.199951171875,3276.300048828125,331,0.0,0.0
2025-04-24 00:00:00-04:00,3305.39990234375,3353.89990234375,3304.89990234375,3332.0,560,0.0,0.0
2025-04-25 00:00:00-04:00,3355.5,3355.5,3266.10009765625,3282.39990234375,162,0.0,0.0
2025-04-28 00:00:00-04:00,3284.5,3332.5,3284.5,3332.5,1300,0.0,0.0
2025-04-29 00:00:00-04:00,3340.0,3340.0,3299.89990234375,3318.800048828125,1278,0.0,0.0
2025-04-30 00:00:00-04:00,3318.699951171875,3318.699951171875,3268.0,3305.0,207,0.0,0.0
2025-05-01 00:00:00-04:00,3272.89990234375,3275.0,3198.60009765625,3210.0,2131,0.0,0.0
2025-05-02 00:00:00-04:00,3239.89990234375,3257.0,3225.0,3231.89990234375,1349,0.0,0.0
2025-05-05 00:00:00-04:00,3242.699951171875,3315.699951171875,3239.699951171875,3311.300048828125,244,0.0,0.0
2025-05-06 00:00:00-04:00,3365.5,3430.89990234375,3356.800048828125,3411.39990234375,2357,0.0,0.0
2025-05-07 00:00:00-04:00,3418.699951171875,3418.699951171875,3364.699951171875,3381.39990234375,1080,0.0,0.0
2025-05-08 00:00:00-04:00,3390.0,3390.0,3288.699951171875,3296.60009765625,200,0.0,0.0
2025-05-09 00:00:00-04:00,3299.0,3335.5,3299.0,3335.39990234375,216,0.0,0.0
2025-05-12 00:00:00-04:00,3300.699951171875,3300.699951171875,3205.0,3220.0,886,0.0,0.0
2025-05-13 00:00:00-04:00,3232.0,3251.39990234375,3223.5,3240.300048828125,2424,0.0,0.0
2025-05-14 00:00:00-04:00,3233.0,3233.0,3171.699951171875,3181.39990234375,3518,0.0,0.0
2025-05-15 00:00:00-04:00,3151.0,3228.10009765625,3125.0,3220.699951171875,652,0.0,0.0
2025-05-16 00:00:00-04:00,3227.699951171875,3228.10009765625,3173.89990234375,3182.0,199,0.0,0.0
2025-05-19 00:00:00-04:00,3234.39990234375,3241.0,3228.300048828125,3228.89990234375,266,0.0,0.0
2025-05-20 00:00:00-04:00,3219.0,3293.199951171875,3207.5,3280.300048828125,356,0.0,0.0
2025-05-21 00:00:00-04:00,3293.39990234375,3317.5,3290.199951171875,3309.300048828125,979,0.0,0.0
2025-05-22 00:00:00-04:00,3327.300048828125,3328.0,3282.699951171875,3292.300048828125,1210,0.0,0.0
2025-05-23 00:00:00-04:00,3328.0,3363.60009765625,3323.5,3363.60009765625,47,0.0,0.0
2025-05-27 00:00:00-04:00,3332.5,3341.0,3296.300048828125,3299.10009765625,189,0.0,0.0
2025-05-28 00:00:00-04:00,3293.60009765625,3293.60009765625,3293.60009765625,3293.60009765625,127758,0.0,0.0
2025-05-29 00:00:00-04:00,3283.699951171875,3328.800048828125,3242.39990234375,3317.10009765625,24370,0.0,0.0
2025-05-30 00:00:00-04:00,3315.10009765625,3318.0,3270.89990234375,3288.89990234375,2213,0.0,0.0
2025-06-02 00:00:00-04:00,3296.89990234375,3380.800048828125,3296.89990234375,3370.60009765625,976,0.0,0.0
2025-06-03 00:00:00-04:00,3385.10009765625,3390.0,3331.300048828125,3350.199951171875,6410,0.0,0.0
2025-06-04 00:00:00-04:00,3355.0,3380.0,3344.0,3373.5,207,0.0,0.0
2025-06-05 00:00:00-04:00,3371.5,3400.0,3343.699951171875,3350.699951171875,731,0.0,0.0
2025-06-06 00:00:00-04:00,3364.300048828125,3364.300048828125,3306.0,3322.699951171875,81,0.0,0.0
2025-06-09 00:00:00-04:00,3315.60009765625,3334.60009765625,3290.0,3332.10009765625,1887,0.0,0.0
2025-06-10 00:00:00-04:00,3302.0,3344.300048828125,3302.0,3320.89990234375,65,0.0,0.0
2025-06-11 00:00:00-04:00,3328.0,3356.0,3321.300048828125,3321.300048828125,2106,0.0,0.0
2025-06-12 00:00:00-04:00,3363.0,3395.89990234375,3353.39990234375,3380.89990234375,1818,0.0,0.0
2025-06-13 00:00:00-04:00,3407.300048828125,3444.0,3407.300048828125,3431.199951171875,499,0.0,0.0
2025-06-16 00:00:00-04:00,3442.0,3442.0,3385.39990234375,3396.39990234375,480,0.0,0.0
2025-06-17 00:00:00-04:00,3398.300048828125,3398.300048828125,3376.10009765625,3386.60009765625,1477,0.0,0.0
2025-06-18 00:00:00-04:00,3385.300048828125,3391.89990234375,3365.10009765625,3389.800048828125,0,0.0,0.0
2025-06-20 00:00:00-04:00,3350.0,3372.89990234375,3341.0,3368.10009765625,709,0.0,0.0
2025-06-23 00:00:00-04:00,3365.89990234375,3387.89990234375,3350.0,3377.699951171875,30,0.0,0.0
2025-06-24 00:00:00-04:00,3358.0,3358.0,3301.0,3317.39990234375,538,0.0,0.0
2025-06-25 00:00:00-04:00,3321.60009765625,3331.199951171875,3310.60009765625,3327.10009765625,373,0.0,0.0
2025-06-26 00:00:00-04:00,3332.39990234375,3333.5,3332.39990234375,3333.5,2058,0.0,0.0
2025-06-27 00:00:00-04:00,3318.699951171875,3318.699951171875,3253.800048828125,3273.699951171875,284,0.0,0.0
2025-06-30 00:00:00-04:00,3265.89990234375,3306.89990234375,3262.0,3294.39990234375,1242,0.0,0.0
2025-07-01 00:00:00-04:00,3310.10009765625,3354.10009765625,3310.10009765625,3336.699951171875,371,0.0,0.0
2025-07-02 00:00:00-04:00,3329.0,3357.5,3329.0,3348.0,39,0.0,0.0
2025-07-03 00:00:00-04:00,3362.0,3362.0,3322.300048828125,3331.60009765625,0,0.0,0.0
2025-07-04 00:00:00-04:00,3342.0,3342.0,3332.5,3332.5,0,0.0,0.0
2025-07-07 00:00:00-04:00,3305.5,3333.300048828125,3299.199951171875,3332.199951171875,254,0.0,0.0
2025-07-08 00:00:00-04:00,3330.39990234375,3334.5,3287.60009765625,3307.0,909,0.0,0.0
2025-07-09 00:00:00-04:00,3289.39990234375,3314.0,3282.0,3311.60009765625,114,0.0,0.0
2025-07-10 00:00:00-04:00,3323.60009765625,3330.5,3311.60009765625,3317.39990234375,209,0.0,0.0
2025-07-11 00:00:00-04:00,3330.5,3370.0,3330.5,3356.0,776,0.0,0.0
2025-07-14 00:00:00-04:00,3367.0,3375.5,3350.0,3351.5,583,0.0,0.0
2025-07-15 00:00:00-04:00,3341.0,3341.0,3329.800048828125,3329.800048828125,210,0.0,0.0
2025-07-16 00:00:00-04:00,3341.199951171875,3352.89990234375,3329.5,3352.5,10,0.0,0.0
2025-07-17 00:00:00-04:00,3313.800048828125,3340.800048828125,3313.800048828125,3340.10009765625,667,0.0,0.0
2025-07-18 00:00:00-04:00,3338.199951171875,3353.0,3338.199951171875,3353.0,602,0.0,0.0
2025-07-21 00:00:00-04:00,3350.300048828125,3411.699951171875,3350.300048828125,3401.89990234375,53,0.0,0.0
2025-07-22 00:00:00-04:00,3411.0,3441.0,3395.60009765625,3439.199951171875,39,0.0,0.0
2025-07-23 00:00:00-04:00,3430.300048828125,3433.89990234375,3388.10009765625,3394.10009765625,63,0.0,0.0
